Run,bases,avgLength,InsertSize,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,Platform,BioProject,BioSample,ScientificName,CenterName,Consent
ERR4854279,44000712600,300,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA7589750,Bos taurus,ETH ZURICH,public
ERR6890253,85492686230,302,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA9986201,Bos taurus,ETH ZURICH,public
ERR3374914,80311008879,300,300,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB18113,SAMEA5714974,Bos taurus,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public
ERR6473935,38052537600,300,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA9533800,Bos taurus,ETH ZURICH,public
ERR3700341,56008287612,302,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA6272122,Bos taurus,ETH ZURICH,public
ERR3700312,47929816800,300,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA6272093,Bos taurus,ETH ZURICH,public
ERR3700345,192500127582,302,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA6272126,Bos taurus,ETH ZURICH,public
ERR3700333,32421057000,300,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA6272114,Bos taurus,ETH ZURICH,public
ERR6473922,40071799800,300,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA9533787,Bos taurus,ETH ZURICH,public
ERR3278204,63976247032,300,300,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB18113,SAMEA5564726,Bos taurus,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public
ERR2985472,107276580916,300,300,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB18113,SAMEA5159886,Bos taurus,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public
ERR3700309,45935421000,300,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA6272090,Bos taurus,ETH ZURICH,public
ERR6890252,84583447884,302,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA9986200,Bos taurus,ETH ZURICH,public
ERR6890251,91477890746,302,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA9986199,Bos taurus,ETH ZURICH,public
ERR6473923,36944889600,300,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA9533788,Bos taurus,ETH ZURICH,public
ERR4854277,41454509400,300,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA7589748,Bos taurus,ETH ZURICH,public
ERR3890039,65815790433,296,300,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB18113,SAMEA6528887,Bos taurus,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public
ERR3700343,58195303058,302,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA6272124,Bos taurus,ETH ZURICH,public
ERR3700344,72901357648,302,400,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB28191,SAMEA6272125,Bos taurus,ETH ZURICH,public
ERR2561394,56797599522,300,300,WGS,RANDOM,GENOMIC,PAIRED,ILLUMINA,PRJEB18113,SAMEA4644734,Bos taurus,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public
