Run	bases	avgLength	InsertSize	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	Platform	BioProject	BioSample	ScientificName	CenterName	Consent
ERR4291956	56602612872	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA7015108	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890047	48156850513	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528895	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890046	58712820811	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528894	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890045	13231349940	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528893	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890044	67323348275	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528892	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890043	75938892996	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528891	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890042	54711103596	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528890	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890041	57384258482	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528889	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890040	51237434118	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528888	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890039	65815790433	296	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528887	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890038	78385693257	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528886	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3700346	165584492040	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272127	Bos taurus	ETH ZURICH	public
ERR3700345	192500127582	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272126	Bos taurus	ETH ZURICH	public
ERR3700344	72901357648	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272125	Bos taurus	ETH ZURICH	public
ERR3700343	58195303058	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272124	Bos taurus	ETH ZURICH	public
ERR3700342	51734534914	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272123	Bos taurus	ETH ZURICH	public
ERR3700341	56008287612	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272122	Bos taurus	ETH ZURICH	public
ERR3700340	54383574120	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272121	Bos taurus	ETH ZURICH	public
ERR3700339	56756290574	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272120	Bos taurus	ETH ZURICH	public
ERR3700338	60578964294	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272119	Bos taurus	ETH ZURICH	public
ERR3700337	56807888180	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272118	Bos taurus	ETH ZURICH	public
ERR3700336	39488813018	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272117	Bos taurus	ETH ZURICH	public
ERR3700334	35258949900	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272115	Bos taurus	ETH ZURICH	public
ERR3700333	32421057000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272114	Bos taurus	ETH ZURICH	public
ERR3700332	45081348000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272113	Bos taurus	ETH ZURICH	public
ERR3700331	39736510500	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272112	Bos taurus	ETH ZURICH	public
ERR3700329	32873089200	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272110	Bos taurus	ETH ZURICH	public
ERR3700328	33193853700	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272109	Bos taurus	ETH ZURICH	public
ERR3700326	42850523100	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272107	Bos taurus	ETH ZURICH	public
ERR3700322	37227858300	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272103	Bos taurus	ETH ZURICH	public
ERR3700321	30241580700	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272102	Bos taurus	ETH ZURICH	public
ERR3700319	35721520800	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272100	Bos taurus	ETH ZURICH	public
ERR3700313	34477327800	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272094	Bos taurus	ETH ZURICH	public
ERR3700312	47929816800	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272093	Bos taurus	ETH ZURICH	public
ERR3700311	40000574700	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272092	Bos taurus	ETH ZURICH	public
ERR3700310	40423782000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272091	Bos taurus	ETH ZURICH	public
ERR3700309	45935421000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272090	Bos taurus	ETH ZURICH	public
ERR3700308	34517207100	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272089	Bos taurus	ETH ZURICH	public
ERR3700307	46311282000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272088	Bos taurus	ETH ZURICH	public
ERR3700306	50837983200	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272087	Bos taurus	ETH ZURICH	public
ERR3700305	55059540300	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272086	Bos taurus	ETH ZURICH	public
ERR3700304	32652574200	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272085	Bos taurus	ETH ZURICH	public
ERR3700303	37078794430	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272084	Bos taurus	ETH ZURICH	public
ERR3700302	100405232716	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272083	Bos taurus	ETH ZURICH	public
ERR3700301	70884286360	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272082	Bos taurus	ETH ZURICH	public
ERR3374915	67939898818	298	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5714975	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3374914	80311008879	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5714974	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3374912	97647218156	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5714972	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3278206	66465232967	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5564728	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3278205	62440156259	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5564727	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3278204	63976247032	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5564726	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985472	107276580916	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159886	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985435	82235684656	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159850	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985434	78002156737	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159849	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985433	67164832369	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159848	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985428	68438572254	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159843	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985423	100318810593	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159837	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
